_id,author_name,cover_type,name,num_page,price,provider,publisher,release_year,size,url,weight
629cf7ac56a95be487d01805,Võ Thị Kim Loan,Bìa mềm,Sách - Tìm Lại Giấc Mơ - Hành Trình Trên Nước Mỹ,,168.000,Nhà sách Alpha Books,Lao Động,2019,23x16x3 (cm),https://book365.vn/sach/1098534_sach-tim-lai-giac-mo-.html,500 (g)
629cf7ac56a95be487d01810,MARTIN D.WEISS,Bìa mềm,Sách - Kiếm Tiền Thời Khủng Hoảng (Tái Bản 2020),,169.000,Nhà sách Alpha Books,Công Thương,2020,25x17x2 (cm),https://book365.vn/sach/1098568_sach-kiem-tien-thoi-khung.html,300 (g)
629cf7ac56a95be487d01820,Seo Jiweon,Bìa mềm,Sách - Những Bộ Óc Vĩ Đại: Ông Vua Thép Nhân Hậu Andrew Carnegie 65K,,65.000,Nhà sách Alpha Books,Dân Trí,2021,27x22x1 (cm),https://book365.vn/sach/1098638_sach-nhung-bo-oc-vi-dai-.html,200 (g)
629cf7ac56a95be487d01833,Thùy Dung dịch,Bìa mềm,Sách - Kỹ năng sinh tồn cho trẻ tập 2: Sống khỏe ư? Đơn giản cực! (tái bản 2019),,75.000,Nhà sách Alpha Books,Dân Trí,2019,23x15x2 (cm),https://book365.vn/sach/1098736_sach-ky-nang-sinh-ton-cho.html,250 (g)
629cf7ac56a95be487d01864,Jay Conrad Levinson - Al Lautenslager,Bìa mềm,Sách - Marketing Du Kích Trong 30 Ngày 169K (Tái Bản 2020),,169.000,Nhà sách Alpha Books,Lao động - Xã hội,2020,22x14x3 (cm),https://book365.vn/sach/1099086_sach-marketing-du-kich-trong.html,550 (g)
629cf7ac56a95be487d0187a,Alphabooks,Bìa mềm,99 Phương án khuyến mãi trong bán lẻ,,109.000,Nhà sách Alpha Books,Lao Động - Xã Hội,2019,22x12x5 (cm),https://book365.vn/sach/1099545_99-phuong-an-khuyen-mai-trong.html,500 (g)
629cf7ac56a95be487d01887,Tạ Quốc Kế,Bìa mềm,Điềm Tĩnh Và Nóng Giận,224,96.000,Wiselands,Thanh Niên,2021, (cm),https://book365.vn/sach/1162215_diem-tinh-va-nong-gian.html,400 (g)
629cf7ac56a95be487d01890,Ngô Tất Tố,Bìa mềm,Lều chõng,368,63.000,Minh Long Book,Văn học,2021,20x15x2 (cm),https://book365.vn/sach/1161706_leu-chong.html,300 (g)
629cf7ac56a95be487d016e0,"– Phần Sinh học:
GS.TS. Đinh Quang Báo (Chủ biên)
PGS.TS. Mai Sỹ Tuấn,
PGS.TS. Phan Thị Thanh Hội;
– Phần Vật lí:
PGS.TS. Nguyễn",Bìa mềm,Hướng dẫn dạy học môn Khoa học tự nhiên cấp THCS theo chương trình giáo dục phổ thông mới (2018),152,60.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2018, (cm),https://book365.vn/sach/1131249_huong-dan-day-hoc-mon.html,350 (g)
629cf7ac56a95be487d016e1,NGUYỄN XUÂN KHOA,Bìa mềm,Phương pháp phát triển ngôn ngữ cho trẻ mẫu giáo,274,27.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2004, (cm),https://book365.vn/sach/1129235_phuong-phap-phat-trien-ngon.html,400 (g)
629cf7ac56a95be487d016e4,PHAN TRỌNG LUẬN,Bìa mềm,Văn học nhà trường những điểm nhìn,364,51.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2011, (cm),https://book365.vn/sach/1127120_van-hoc-nha-truong-nhung.html,500 (g)
629cf7ac56a95be487d016fa,NGUYỄN THỊ THANH BÌNH,Bìa mềm,Giao tiếp sư phạm,200,40.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2018, (cm),https://book365.vn/sach/1129171_giao-tiep-su-pham.html,400 (g)
629cf7ac56a95be487d01705,NGUYỄN QUANG HỌC,Bìa mềm,Bài tập Vật lí lí thuyết 2 tập 1,204,49.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2014, (cm),https://book365.vn/sach/1128012_bai-tap-vat-li-li-thuyet.html,350 (g)
629cf7ac56a95be487d0171a,Nguyễn Thanh Hùng,Bìa mềm,Lý luận và phương pháp dạy học Văn,250,135.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2021, (cm),https://book365.vn/sach/1127030_ly-luan-va-phuong-phap-day.html,350 (g)
629cf7ac56a95be487d0172b,Nguyễn Quốc Vương,Bìa mềm,Hoạt động trải nghiệm (dành cho học sinh tiểu học) lớp 4 tập 1,70,25.000,Nhà xuất bản Đại học Sư phạm,Đại Học Sư Phạm,2020, (cm),https://book365.vn/sach/1077995_hoat-dong-trai-nghiem.html,200 (g)
629cf7ac56a95be487d0172f,LÊ HUY BẮC,Bìa mềm,Văn học hậu hiện đại - Lí thuyết và tiếp nhận,320,86.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2017, (cm),https://book365.vn/sach/1127112_van-hoc-hau-hien-dai.html,500 (g)
629cf7ac56a95be487d01734,Lưu ý Tưởng (Chủ biên),Bìa mềm,Đề luyện học sinh giỏi môn Toán lớp 9,150,80.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2020, (cm),https://book365.vn/sach/1131225_de-luyen-hoc-sinh-gioi.html,300 (g)
629cf7ac56a95be487d01758,NGUYỄN BÁ CƯỜNG,Bìa mềm,Vấn đề con người trong lịch sử tư tưởng Việt Nam thế kỷ XV - XVIII,296,125.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2016, (cm),https://book365.vn/sach/1130941_van-de-con-nguoi-trong.html,450 (g)
629cf7ac56a95be487d0175b,ĐÀO QUANG TRUNG,Bìa mềm,Phương pháp dạy học Thủ công kĩ thuật,172,40.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2017, (cm),https://book365.vn/sach/1129283_phuong-phap-day-hoc-thu.html,300 (g)
629cf7ac56a95be487d0175c,Ngô Hoàng Long (Chủ biên),Bìa mềm,Bài tập phát triển năng lực toán 6 tập 2,100,32.000,Nhà xuất bản Đại học Sư phạm,Đại Học Sư Phạm,2021, (cm),https://book365.vn/sach/1077420_bai-tap-phat-trien-nang.html,400 (g)
629cf7ac56a95be487d01760,PHAN NGỌC LIÊN,Bìa mềm,Hướng dẫn học tập Tư tưởng Hồ Chí Minh,292,32.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2010, (cm),https://book365.vn/sach/1130925_huong-dan-hoc-tap-tu.html,450 (g)
629cf7ac56a95be487d01781,DƯƠNG QUỐC VIỆT,Bìa mềm,Bài tập Đại số sơ cấp (Phần Một số nguyên lí cơ bản),180,40.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2012, (cm),https://book365.vn/sach/1127887_bai-tap-dai-so-so-cap.html,250 (g)
